
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL011893          UNNAMED          4716389.36        134753.98          42314.01           223.71              0         
     AL021893          UNNAMED          1708150.27        131396.17          26966.84           88.11               0         
     AL031893          UNNAMED          8165996.05        166652.98          71478.56           300.96              0         
     AL041893          UNNAMED          7687706.43        167124.05          51817.3            285.08              0         
     AL051893          UNNAMED          3247365.71        216491.05          42133.05           105.75              0         
     AL061893          UNNAMED         11304912.73        152769.09          58879.39           452.44              0         
     AL071893          UNNAMED          4945221.08         130137.4          47105.74           237.96              0         
     AL081893          UNNAMED          2301851.13        100080.48          30329.02           146.85              0         
     AL091893          UNNAMED          9776330.83        117787.12          74365.94           507.74              0         
     AL101893          UNNAMED          3853438.95        113336.44          45197.81           216.08              0         
     AL111893          UNNAMED          2705972.64        180398.18          42312.2            95.86               0         
     AL121893          UNNAMED          4567922.92        147352.35          45483.92           192.77              0         
     AL011894          UNNAMED          944840.28          62989.35          36457.23            90.0               0         
     AL021894          UNNAMED          909085.83          50504.77          16242.86           105.59              0         
     AL031894          UNNAMED          6868191.64        159725.39          73579.6            274.07              0         
     AL041894          UNNAMED          6185496.03        110455.29          56390.0            350.55              0         
     AL051894          UNNAMED          5921101.77        123356.29          59227.82           297.65              0         
     AL061894          UNNAMED          3850369.35         98727.42          32456.44           253.7               0         
     AL071894          UNNAMED          6498480.51        158499.52          60719.31           260.45              0         
     AL011895          UNNAMED          823345.11          51459.07          30896.77           93.59               0         
     AL021895          UNNAMED          4562372.27        130353.49          37052.11           218.52              0         
     AL031895          UNNAMED          5096455.48        134117.25          46431.41           235.36              0         
     AL041895          UNNAMED          2644760.71         114989.6          54333.87           134.56              0         
     AL051895          UNNAMED          9149981.65         157758.3          72163.38           357.79              0         
     AL061895          UNNAMED          1812477.31        113279.83          50884.26           91.25               0         
     AL011896          UNNAMED          5143777.64        155872.05          47459.59           203.02              0         
     AL021896          UNNAMED          4951349.68         97085.29          47459.59           320.97              0         
     AL031896          UNNAMED          7842426.41        186724.44          46247.15           266.11              0         
     AL041896          UNNAMED          5056885.47        148731.93          71661.39           216.3               0         
     AL051896          UNNAMED          5327237.83        136595.84          73397.53           243.24              0         
     AL061896          UNNAMED          6211722.04        107098.66          73397.53           353.16              0         
     AL071896          UNNAMED           987353.2          89759.38          29725.67           68.82               0         
     AL011897          UNNAMED          7051486.33        167892.53          56791.95           265.8               0         
     AL021897          UNNAMED          1928694.55        128579.64          36995.05           91.47               0         
     AL031897          UNNAMED          4004217.8         166842.41          97555.43           144.68              0         
     AL041897          UNNAMED          1038884.3          54678.12          97555.43           114.98              0         
     AL051897          UNNAMED          6409644.33        120936.69          47064.93           321.17              0         
     AL061897          UNNAMED          3925618.16        112160.52          34083.75           211.86              0         
     AL011898          UNNAMED          1062410.12        118045.57          28540.83           67.39               0         
     AL021898          UNNAMED          916092.89          83281.17          21004.61           88.58               0         
     AL031898          UNNAMED          1788643.71        162603.97          39542.1            59.62               0         
     AL041898          UNNAMED          8613168.17         143552.8          69949.82           369.03              0         
